"input" "filtered" "denoisedF" "denoisedR" "merged" "nonchim"
"Davies_T1_R1_1" 11675 8979 4738 6319 3927 2979
"Davies_T1_R1_2" 40625 20253 20208 20243 20094 20094
"Davies_T1_R1_3" 27857 4040 3577 3761 3570 825
"Davies_T1_R2_1" 53409 32549 27188 30159 23759 21224
"Davies_T1_R2_2" 32237 3671 3491 3612 3490 1118
"Davies_T1_R2_3" 69710 39142 33480 36756 29202 25875
"Davies_T1_R3_1" 59214 26277 21537 24664 19764 18369
"Davies_T1_R3_2" 21586 7125 4743 5824 3944 2888
"Davies_T1_R3_3" 46800 28829 23801 26774 21478 19865
"Davies_T29_R1_1" 49315 24196 18511 21682 15472 14099
"Davies_T29_R1_2" 29850 22702 19932 21705 17330 13011
"Davies_T29_R1_3" 42351 29172 23051 26501 19212 17506
"Davies_T29_R2_1" 40164 27749 21569 24722 18221 16528
"Davies_T29_R2_2" 17398 3344 773 1745 727 727
"Davies_T29_R2_3" 44331 32187 25548 29504 21824 19542
"Davies_T29_R3_1" 36458 28272 23297 26449 20036 17709
"Davies_T29_R3_2" 16401 3033 1700 2109 1604 1226
"Davies_T29_R3_3" 84858 68281 63363 66293 60283 58252
"Davies_T7_R1_1" 17478 3441 1132 1903 924 924
"Davies_T7_R1_2" 26374 3692 1116 2188 880 789
"Davies_T7_R1_3" 36953 23902 18084 21600 15587 14492
"Davies_T7_R2_1" 40778 27237 21816 25192 18399 16380
"Davies_T7_R2_2" 39930 24734 19072 22445 16016 14571
"Davies_T7_R2_3" 38603 26738 21506 24744 18014 15400
"Davies_T7_R3_1" 45482 30715 24636 28227 21506 19995
"Davies_T7_R3_2" 42747 29787 23720 27118 20158 18452
"Davies_T7_R3_3" 15452 4016 1883 2641 1767 1555
"NCT1" 6922 16 16 16 16 16
"NCT29" 16004 4313 4206 4273 4126 3630
"NCT7" 25765 15342 14791 15257 14006 12690
