Site,Channel,Replicate,Hour,DmagnaCT,DmagnaCN,DanicaCT,DanicaCN,AnguillaCT,AnguillaCN,,,,,,,
Carpenter,C1,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C1,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C1,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C1,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C1,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C1,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C1,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C1,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C1,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C2,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C2,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C2,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C2,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C2,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C2,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C2,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C2,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C2,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C3,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C3,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C3,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C3,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C3,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C3,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C3,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C3,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C3,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C1,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C1,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C1,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C1,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C1,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C1,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C1,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C1,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C1,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C2,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C2,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C2,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C2,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C2,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C2,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C2,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C2,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C2,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C3,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C3,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C3,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Davies,C3,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
