"Var1" "Freq"
"1" "150" 11
"2" "151" 21
"3" "152" 19
"4" "153" 36
"5" "154" 35
"6" "155" 29
"7" "156" 22
"8" "157" 57
"9" "158" 23
"10" "159" 35
"11" "160" 15
"12" "161" 24
"13" "162" 19
"14" "163" 20
"15" "164" 26
"16" "165" 23
"17" "166" 26
"18" "167" 19
"19" "168" 18
"20" "169" 19
"21" "170" 21
"22" "171" 18
"23" "172" 26
"24" "173" 24
"25" "174" 12
"26" "175" 25
"27" "176" 18
"28" "177" 31
"29" "178" 14
"30" "179" 21
"31" "180" 13
"32" "181" 30
"33" "182" 13
"34" "183" 11
"35" "184" 24
"36" "185" 11
"37" "186" 22
"38" "187" 20
"39" "188" 20
"40" "189" 10
"41" "190" 9
"42" "191" 17
"43" "192" 21
"44" "193" 18
"45" "194" 45
"46" "195" 270
"47" "196" 750
"48" "197" 910
"49" "198" 370
"50" "199" 111
"51" "200" 50
"52" "201" 111
"53" "202" 729
"54" "203" 271
"55" "204" 49
"56" "205" 42
"57" "206" 28
"58" "207" 14
"59" "208" 44
"60" "209" 24
"61" "210" 18
"62" "211" 29
"63" "212" 17
"64" "213" 8
"65" "214" 24
"66" "215" 15
"67" "216" 178
"68" "217" 24
"69" "218" 7
"70" "219" 15
"71" "220" 19
"72" "221" 16
"73" "222" 9
"74" "223" 23
"75" "224" 25
"76" "225" 21
"77" "226" 14
"78" "227" 6
"79" "228" 10
"80" "229" 12
"81" "230" 14
"82" "231" 11
"83" "232" 10
"84" "233" 10
"85" "234" 26
"86" "235" 24
"87" "236" 9
"88" "237" 16
"89" "238" 7
"90" "239" 17
"91" "240" 13
"92" "241" 15
"93" "242" 12
"94" "243" 5
"95" "244" 10
"96" "245" 6
"97" "246" 2
"98" "247" 17
"99" "248" 48
"100" "249" 17
"101" "250" 11
"102" "251" 7
"103" "252" 11
"104" "253" 6
"105" "254" 6
"106" "255" 20
"107" "256" 3
"108" "257" 9
"109" "258" 3
"110" "259" 6
"111" "260" 16
"112" "261" 3
"113" "262" 4
"114" "263" 17
"115" "264" 8
"116" "265" 10
"117" "266" 5
"118" "267" 17
"119" "268" 2
"120" "269" 4
"121" "270" 11
"122" "271" 8
"123" "272" 9
"124" "273" 10
"125" "274" 12
"126" "275" 6
"127" "276" 55
"128" "277" 38
"129" "278" 16
"130" "279" 15
"131" "280" 16
"132" "281" 317
"133" "282" 50320
"134" "283" 11807
"135" "284" 1810
"136" "285" 133
"137" "286" 370
"138" "287" 12
"139" "288" 15
